sample,group,replicate,number_of_days
blank1,Blank,no,no
blank10,Blank,no,no
blank11,Blank,no,no
blank12,Blank,no,no
blank13,Blank,no,no
blank14,Blank,no,no
blank15,Blank,no,no
blank16,Blank,no,no
blank17,Blank,no,no
blank18,Blank,no,no
blank19,Blank,no,no
blank2,Blank,no,no
blank20,Blank,no,no
blank3,Blank,no,no
blank4,Blank,no,no
blank5,Blank,no,no
blank6,Blank,no,no
blank7,Blank,no,no
blank8,Blank,no,no
blank9,Blank,no,no
0-0909a,Control,a,0
0-0909b,Control,b,0
0-0909c,Control,c,0
0-0915a,Control,a,6
0-0915b,Control,b,6
0-0915c,Control,c,6
0-0922a,Control,a,13
0-0922b,Control,b,13
0-0922c,Control,c,13
0-0929a,Control,a,20
0-0929b,Control,b,20
0-0929c,Control,c,20
0-1006a,Control,a,27
0-1006b,Control,b,27
0-1006c,Control,c,27
0-1013a,Control,a,34
0-1013b,Control,b,34
0-1013c,Control,c,34
0-1020a,Control,a,41
0-1020b,Control,b,41
0-1020c,Control,c,41
0-1027a,Control,a,48
0-1027b,Control,b,48
0-1027c,Control,c,48
0-1103a,Control,a,55
0-1103b,Control,b,55
0-1103c,Control,c,55
c-0909a,Carbonate,a,0
c-0909b,Carbonate,b,0
c-0909c,Carbonate,c,0
c-0915a,Carbonate,a,6
c-0915b,Carbonate,b,6
c-0915c,Carbonate,c,6
c-0922a,Carbonate,a,13
c-0922b,Carbonate,b,13
c-0922c,Carbonate,c,13
c-0929a,Carbonate,a,20
c-0929b,Carbonate,b,20
c-0929c,Carbonate,c,20
c-1006a,Carbonate,a,27
c-1006b,Carbonate,b,27
c-1006c,Carbonate,c,27
c-1013a,Carbonate,a,34
c-1013b,Carbonate,b,34
c-1013c,Carbonate,c,34
c-1020a,Carbonate,a,41
c-1020b,Carbonate,b,41
c-1020c,Carbonate,c,41
c-1027a,Carbonate,a,48
c-1027b,Carbonate,b,48
c-1027c,Carbonate,c,48
c-1103a,Carbonate,a,55
c-1103b,Carbonate,b,55
c-1103c,Carbonate,c,55
cl-0909a,Chloride,a,0
cl-0909b,Chloride,b,0
cl-0909c,Chloride,c,0
cl-0915a,Chloride,a,6
cl-0915b,Chloride,b,6
cl-0915c,Chloride,c,6
cl-0922a,Chloride,a,13
cl-0922b,Chloride,b,13
cl-0922c,Chloride,c,13
cl-0929a,Chloride,a,20
cl-0929b,Chloride,b,20
cl-0929c,Chloride,c,20
cl-1006a,Chloride,a,27
cl-1006b,Chloride,b,27
cl-1006c,Chloride,c,27
cl-1013a,Chloride,a,34
cl-1013b,Chloride,b,34
cl-1013c,Chloride,c,34
cl-1020a,Chloride,a,41
cl-1020b,Chloride,b,41
cl-1020c,Chloride,c,41
cl-1027a,Chloride,a,48
cl-1027b,Chloride,b,48
cl-1027c,Chloride,c,48
cl-1103a,Chloride,a,55
cl-1103b,Chloride,b,55
cl-1103c,Chloride,c,55
p-0909a,Phosphate,a,0
p-0909b,Phosphate,b,0
p-0909c,Phosphate,c,0
p-0915a,Phosphate,a,6
p-0915b,Phosphate,b,6
p-0915c,Phosphate,c,6
p-0922a,Phosphate,a,13
p-0922b,Phosphate,b,13
p-0922c,Phosphate,c,13
p-0929a,Phosphate,a,20
p-0929b,Phosphate,b,20
p-0929c,Phosphate,c,20
p-1006a,Phosphate,a,27
p-1006b,Phosphate,b,27
p-1006c,Phosphate,c,27
p-1013a,Phosphate,a,34
p-1013b,Phosphate,b,34
p-1013c,Phosphate,c,34
p-1020a,Phosphate,a,41
p-1020b,Phosphate,b,41
p-1020c,Phosphate,c,41
p-1027a,Phosphate,a,48
p-1027b,Phosphate,b,48
p-1027c,Phosphate,c,48
p-1103a,Phosphate,a,55
p-1103b,Phosphate,b,55
p-1103c,Phosphate,c,55
pool01,QC_Control,null,null
pool02,QC_Control,null,null
pool03,QC_Control,null,null
pool04,QC_Control,null,null
poolc1,QC_Carbonate,null,null
poolc2,QC_Carbonate,null,null
poolc3,QC_Carbonate,null,null
poolc4,QC_Carbonate,null,null
poolcl1,QC_Chloride,null,null
poolcl2,QC_Chloride,null,null
poolcl3,QC_Chloride,null,null
poolcl4,QC_Chloride,null,null
poolp1,QC_Phosphate,null,null
poolp2,QC_Phosphate,null,null
poolp3,QC_Phosphate,null,null
poolp4,QC_Phosphate,null,null
